,리뷰,평점
4042,예술작품이자 중간중간 판타지 같은 전쟁영화,10
4043,[쓸모 평] 좋은 영화 맞음. 액션이나 웅장하거나 스케일 큰 전투씬은 없는 편. 주인공이 총을 안 맞는 것은 캡틴 아메리카급. 화면이 계속 안개나 포연으로 우중충함. ★전쟁은 없어져야 한다. 이겨도 파괴와 죽음만 남...,8
4044,정민이가 졸지 않고 오랜만에 본 영화..육아 하느라 출장 다니느라 고생이 많타.,10
4045,전쟁의 슬픔.. 촬영 기법 대박,8
4046,,10
4047,영상 편집에 감탄... 엔딩 롱테이크 진짜 쩐다,10
4048,"업계 사람인데요.. 이건 무슨 헐리우드가 지금 우리 기술은 이정도니 따라올테면 따라와보라고 말하는 듯한 영화네요ㄷㄷ 이거 도데체 어디부터 cg고 뭐 미술이고 , 어떻게 찍은거야 ㅋㅋㅋㅋ 시봉 빡친다",10
4049,생각보다 기대를 많이 했는지 그냥 뻔한 스토리 정도네요 음악이 잘어울려 보긴 괜찮았어요근대 좀 뻔한 평범한 스토리라 그다지 감동은 못느꼈네요 실화 바탕 영화인지 마지막에서 알았습니다큰 기대 없이 보기 좋습니다,3
4050,명령 수행 중 전장에서 전우를 잃고 사명감과 책임감으로 임무를 수행하는 뻔한 스토리가 이렇게 아름다울 수 있다니. 걷고 뛰고 하는게 거의 전부인 영화인데도 엄청났다... 카메라 워킹도 너무 좋았고 적절하게 울려퍼지는...,10
4051,"주인공이 정우 닮아, 자꾸 응사 쓰레기가 생각나서 몰입에 방해가 되는 것 빼곤 좋았습니다.",10
4052,1917 그 순간 속에.,10
4053,아 오줌 마려워서 중간에 나간게 한이다. 내일 아이멕스로 한 번 더 볼 예정,10
4054,메롱시티를 처음 본 순간의 충격이다...허걱,10
4055,"진심 대작이다.. 롱테이크로 어떻게 이렇게 아름답고 긴장감넘치게 찍을 수 있었는지...감탄만 나왔다.  아카데미가 미쳤거나, 기생충이 운이좋았거나. 샘 멘데스 감독에게 내가 다 미안할 정도.",10
4056,"카메라와 배우들의 캐미가 빛났다. 러닝타임 동안 노 맨스 랜드에서 나는 듯한 시체 썩는 냄새에 현기증이 났다. 답답하고 희망이 없는 땅, 노 맨스 랜드에서 스코필드와 블레이크를 달리게 했던 힘은 형제애, 우정 그리고...",8
4057,지금까지 본 전쟁영화중 최고 장르를떠나서도 최고거의 주인공만 계속 따라가는 촬영기법인데 한개도 안지루함연기는 또 왜케잘함음악은 또 왜케좋음 이걸 이겼다는 기생충이 대단,10
4058,간만에 영화한편 본듯마지막 초원달리기 씬까지 몰고가 터지는 경쾌하고 숨막히는 질주이렇게 고생스럽고 긴 롱테이크씬은 처음이다.. 찬사이상의 존경,10
4059,볼만함. 감동 같은건 안 느껴짐.,9
4060,보는 내내 이걸 어떻게 만들었을지 궁금할정도로 엄청 잘만들었음 pc영향으로 흑인이나 아시아인한테만 상주는 오스카라 기생충 같은 영화가 상 받았지만 진짜는 이거다 pc만 아니였어도 상받고도 남았을 영화임,10
4061,1917이  아카데미상받아도할말없게  만든영화같다여운이남는다.,10
4062,좌빨 민주당 꼬봉 전라도 북괴 찬양 영화만 찍는 ㅈ무로는 절대 만들수 없는 영화 ㅋㅋ,10
4063,"전쟁영화, 아니 영화 역사를 다시 쓴 또다른 명작. 영화를 감상이 아닌 체험으로 접하는 다시 없을 뛰어난 연출에 감탄했다.       전쟁의 참혹함이라는 거대한 소재를 2시간남짓한 시간안에 담아내는 마법이 새롭고 신...",10
4064,와 마지막부분  전투 돌격 할때 주인공은 옆으로 뛰어가는 장면 소름...,10
4065,영화관의 존재 이유를 알려주는 영화,10
4066,샘 멘데스 할아버지의 실화를 바탕으로 한 영화를 유명한 1차세계대전에 접목시켜 최고의 연출력이라는 양념을 버무린 이번년도 최고의 영화라 생각합니다.,10
4067,영상미 빼곤 전쟁영화론 너무 아님.,4
4068,카메라를 영혼으로 찍은듯....,10
4069,숨죽이고 지켜보며 따라갔다. 영상미와 촬영기법이 다했다. 전쟁 속 하루에 우리의 인생이 다 있는 것 같다.,9
4070,이 영화 정말 최고인데 집 티비에서 보면 그저그런 영화일듯,10
4071,개인적으로 기생충보다 재미있게봤다,10
4072,,10
4073,2시간동안 난 전장에 있었고 1분동안 나도 함께 달렸다.,10
4074,진짜.. 말이 필요없는 영화 그리고 전쟁은 하면 안된다는 현실성을 잘 담은 영화,10
4075,한시간 기 빨리고 잠깐 쉬고 또 한시간 기 빨림,10
4076,걍 미국 애국영화. 반지원정대 군인편 느낌.재미없음.미국에서 만든거라는 버프가 심해서 상탄듯.,2
4077,한국영화에서는 느낄 수 없었던 색다른 연출을 볼 수 있어서 좋았다,10
4078,온몸에 전율을 일으키는 영화.. 개인적으로 기생충보다 우위였다. 한참을 더.,10
4079,영화 역사상 최고의 롱테이크..그만큼 주인공의 여정속에 들어가있는 느낌,10
4080,,10
4081,이 영화가 왜 작품상을 못탓는지 이해할수 없다,10
4082,Mx관에서 봤는데요 와..진짜 졸라 똥줄 타면서 긴장 하면서 봄 너무 긴장 한 나머지 등에 땀으로 젖음아니 총소리 날때마다 심장이 쿵!!!뛰더라 그 마을안 가기전 안에서 얼마나 긴장 되던지 심장 쫄깃 그자체웬만한 공...,10
4083,왜 영화는 영화관에서 봐야하는가에 대한 최고의 답이 될 영화,10
4084,2시간 내내 스코필드와 블레이크 옆 어딘가에 서 있었다...,10
4085,,10
4086,"두발 뻗고 잘 수 있음에 감사하게 되는 영화입니다영상미 , 음향효과 뭐하나 모자랄 것 없이 완벽했어요",10
4087,군대가기 4일전인데 봤다 눈물나더라,10
4088,긴장감있는 원테이크 기법 중간중간 007 스카이폴이 떠오르는 연출 감동적인 오에스티 배우들 연기까지 최고,10
4089,진짜 여기 댓글 알바들 쩐다.영화1도 안보고 적은게 너무 티난다 정말 아카데미상 받은부문 ㅡ 그 이상 그 이하도 아니다 ㅡ,4
4090,평정이 너무 높길래 기대하고 봤는데 생각보다 전쟁신이 화려하고 스펙타클 한건 아님. 하지만 색다른 촬영시점으로  실제로 전쟁을 체험하는듯 긴장감의 연속. 목숨을 걸고 전장에 뛰어들며 시간 가는지 모르지만 다소 허무한...,7
4091,평범한 한 개인에게 아무 이유없이 던져진 막중한 임무. 그 임무들을 수행해나가며 변화하는 주인공에게 온전히 몰입될 수 밖에 없다.,9
4092,"스코필드와 블레이크, 그리고 나의 포화 속 여정.",10
4093,손에 땀이 너무 많이 나서 소매가 축축해짐 ㄹㅇ 콜라를 샀는데 마실 시간도 없었다 마지막 씬은 진짜 울컥,10
4094,생동감 있는 카메라 움직임은 괜찮은 영화.그 외엔 그냥 1인칭 다큐느낌..,5
4095,"숨 쉴 타이밍을 주시라요,,,",8
4096,머야 이영화 도대체..,10
4097,영상미가 돋보이네요.. 긴장감이 끊이지 않구요.. 오랭만에 명작 전쟁영화였습니다..ㄷㄷ,10
4098,이런게 영화다 오스카를 탔어도 할 말 없음,10
4099,진짜 최고 너무 집중 잘됐음,10
4100,"글쎄,,  일개 병사라고 하기엔,, 네이비씰이나 델타포스인줄,,,,",7
4101,영상미가 아름다움!!,10
4102,정말 어떻게 찍은건지 대단하다.,10
4103,영상미 무엇..정말 흔해빠진 전쟁영화랑 차별화둔 영화.,10
4104,이 영화 중간에 ng나면 다시 첨부터 찍는건가??촬영기업 정말 기가막히네.,10
4105,,10
4106,"경이롭고 압도적인 영화적 체험의 끝판, 참혹한 전쟁의 터 그 한 가운데 우뚝 서다.",10
4107,"진정한 의미의 영화적 체험, 그 이상.",10
4108,연출이나 영상미는 정말 오스카 상을 받을 만한듯하다. 그러나 스토리가 부족하다 느끼는건 시간가는 줄 모르고 봐서일까?,8
4109,오랜만에 영화 다운 영화를 본 것 같습니다.,9
4110,11점이 없어서 1점드리거덩ㅋ,1
4111,롱테이크 촬영은 정말 수고를 많이 했다란 느낌이 들정도였습니다. 반면 내용이 밋밋하게 느껴지는건 자극에 중독된 저의 문제인지 영화 자체가 문제인지는 모르겠습니다.,8
4112,,10
4113,조명탄씬은 어떤예술작품도능가하는 진정한 예술그자체다,10
4114,스토리 없고. 광경 볼거없고. 예고편이 다~~임. 뛰다 넘어지는거.가 젤 놀라운거임.ㅠㅠㅠ 절대보지마세요~!! 포드페라리가 훨나았다..,2
4115,"4DX로 봤는데 정말 후회된다.전쟁영화라서 액션을 기대하고 봤지만, 전쟁장면은 한번도 나오지 않았다. 전쟁영화를 기대한다면 안보길바란다. 액션을 기대하지않아도 억지로 클리셰를 이용한 감동유도와지루함덕에 몰입이 종종 ...",4
4116,자칫 뻔한스토리를 연출의 힘으로 손의땀을 쥐게 만든다 쫒기는 시간과전장 속에서 느껴지는 서스팬스 공포감은 새로운 경험이었다,9
4117,정우형??  언제 외국 영화 찍은거야??,8
4118,,10
4119,연출이 최고.. 이런 전쟁 영화는 본 적이 없어요. 신선함에 계속 몰입하면서 봤어요.,10
4120,제발 영화관에서 볼 때 숙덕숙덕 거리지마세요.팝콘도 먹지마 ㅠㅠㅠ,10
4121,덩케르크를 능가하는 현실감과 끝난뒤의 긴 여운~ 필히 아이맥스로 감상하세요.,10
4122,내가 수준이 낮은가바...,2
4123,진짜... 들숨에 영화 시작해서 날숨에 영화 끝납니다...,10
4124,"cgv 4dx 막 보고 나옴. 돈 엄청 아까움.지루한 전개, 늘어지는 스토리클라이막스 없이 허무하게 끝나는...제목만 거창한 전쟁장면 없는 전쟁영화",2
4125,한참 미래의 촬영기술을 미리 경험하는 듯한,10
4126,보는내내 긴장감이 지속됐고 특히 영상미가 좋았어요,8
4127,새삼 기생충이 더 대단해 보인다.이걸 이겼어,8
4128,이건 꼭 보세요!! 같이 본 친구는 원테이크 촬영기법인걸 눈치 못 챌 정도로 하나도 지루하지않고 전쟁의 참혹함에 대해 긴 여운을 남기는 영화...주연배우들도 모두 매력있었고 콜린퍼스와 베네딕트컴버배치도 나와서 놀랐음...,10
4129,,10
4130,원테이크인데도 전혀 지루하지 않았음,10
4131,미쳤다는 말로는 부족함,10
4132,후회된다.. 미치도록 후회된다 .. 용산으로 갔어야했다.. 왜 디지털로봤을까 늦지않았다 용산 아이맥스로 다시간다..,10
4133,솔직하게 기생충하고 아카데미를 양분했어도 이견이 없을 오래 간만에 등장한 웰메이드 전쟁영화,10
4134,언제 느꼈었는지 까마득한 영화를 본 뒤의 감동 오랜만이다.,10
4135,,10
4136,그들이 싸워야 할것은 적이 아니라 시간이었다 라는 문구를 그대로 영화로 옮겨놓은 듯한 연출효과와 원테이크 기법은 이 영화가 왜 그렇게 많은 상을 받았는지 알게해주었다,9
4137,,10
4138,1917년 4월6일 서부전선에 두시간동안 있다가 왔다,10
4139,평식이가 7점 줬다 무조건 보라는 뜻이다,10
4140,이 영화를 전쟁씬 보려고 봤는데 재미없었다 이 ㅈㄹ떠는 애들 망치로 이빨 다 깨부시고 싶네 ㅋㅋ,10
4141,와... 진짜 촬영 장난아냐...,10
4142,역대급 연출이다.. IMAX가 진리다.. 와.. 심장이 터진다..,10
4143,6점인데 알바가 많아서 2점 기생충에 왜 각본상 감독상 작품상을 왜 받았는지 이해시켜 주는 작품. 용아맥에서 본 영화 중 돈이 아깝다고 느끼게 해준 첫 작품.,2
4144,황홀하고도 아름다운 지옥도,9
4145,,9
4146,"영화그대로 1917 구석기식 배경영화,  통신병관한영화임, 자막크기가 좀 작아서 중간석정도, 영화그대로보먼돼구요 마지막에 약간 감동과슬품, 영화비아깝지안아요",7
4147,22년뒤 또다른 지옥을 맛볼 아기가 너무 불쌍하다,10
4148,이 작품을 제치고 상을 타다니.기생충이 의미하는 바가 크다.1917과 기생충을 좋은 화질과 사운드로 볼 수있는 대한민국 Great!!!!,10
4149,기존의 잘 만들어진 전쟁 영화들을 연상하다 보니 1917은 너무 단순한 구성이다. 기존의 전쟁 영화들에서 보여졌던 장면들이 자꾸 오버랩 되는 것은 감독의 창작력 한계인가? 오스카 작품상까지 기대했던 것은 무리일 수 ...,2
4150,오랜만에 영화에 스며들어 내가 주인공이 된 느낌,10
4151,독일군보다 무서운건 NG다.,10
4152,"기생충과 경쟁작이라는 소식을 듣고 무척 궁금했는데, 이 영화가 아카데미상 작품상을 받았어도 할말이 없었을 것 같고,  고작 2월밖에 안됐지만, 올해 최고의 영화를 미리 선점한 것 같다.",10
4153,무조건 IMAX에서 보세요.,10
4154,연출과 연기와 영상 세박자가 나를 1차대전에 참전 시켰다.,10
4155,진짜 근래 본 영화중 최고다전쟁의 비극을 절제미를 지켜가며 담아낸 수작많은 사람이 봤으면 하는데 코로나 때문에 ㅠ,10
4156,"몰입도 최고, 옆에 남자친구 손 처음부터 끝까지 꽉 잡고 숨죽이면서 봄,,",10
4157,원테이크로 다찍어서 마치 내가 영화속에서 주인공과 함께하는기분,10
4158,"몰입도 장난아님.. 마지막 250m, 달려가는 그 장면에서 소름과 전율이.. 뭐하나 빠지는게 없었음, 대작임",10
4159,영화를 본게아니라 2시간 동안 1917년 4월 6일에 잇다 왔다.,10
4160,하룻밤 사이에 속절없이 지는 꽃잎들 가운데 인간다움의 가치를 증명하다. 고철메달에 달린 리본처럼. (4d감상은 비추. 효과가 별로 없음.),8
4161,전날 밤새고 조조 아침에 IMAX로 보러갔다.처음부터 어디서 총쏘지 않을까 긴장하며 적이 언제 덮칠까 공포영화처럼 화면을 군데군데 살펴봤다. 긴장감도 좋았고 리뷰에서 미리 알고간 쭉이어지는 촬영기법도 신선했다.물론 ...,8
4162,전쟁영화 사상 최고의 몰입감과 디테일,10
4163,기생충이 받을 오스카를 몽땅 1917이 가져가도 납득될 만한 작품,10
4164,말도안되는 카메라워크.. 관객을 3인칭에서 1인칭으로 자연스럽게 융화시켰다,10
4165,미친영화..진짜올해는 재밋는 영화 많이나와서 조타,10
4166,"전쟁에 반하는 전쟁영화, 그 속엔 영웅도, 승자도 없다. + 전장의 한복판에 있는듯한 현장감과 몰입감을 선사한 촬영과 기획에 경이로움을 한번, 단지 촬영 기술만이 이 영화의 전부가 아니라고, 전쟁의 한복판에서 그 의...",10
4167,미친듯한 몰입감 전쟁터 한복판에 들어간느낌 단점은 너무 몰입되다보니 극장 스크린으로 게임 2시간하다 온것같은 피로감,9
4168,"이 영화는 마치 원테이크처럼 보이지만 실제론 원 컨티뉴어스 컷이라고 여러 장면을 마치 하나의 장면처럼 보이게 이어 붙여 만들었다고 합니다. 그렇다고 해서 이 방법이 결코 쉬운 건 아닌데요, 영화를 보는 내내 원테이크...",10
4169,나쁘진 않지만 감동적 전쟁영화의 범주를 벗어나지 못하는~,8
4170,왜평점이 높은지 모르겠네요보는내내 감독이 말하고싶은게 뭔지 계속 생각하고 생각했는데 마지막에 감동 잠깐?실화라는것에 무게를 둔듯한데...짜맞추기바쁘고.. 별로였습니다같이간친구도 전쟁영화로는 처음보는 장르라고..,6
4171,영화관가서 봐야 함 ㄹㅇ,10
4172,"몰입감이 아주 좋았습니다. 영상미도 아주 좋았구요.//다만 같은 영화관에  노부부가 빅히어로, 겨울왕국의 아이들보다 더 시끄럽고 매너가 없어서 관람하는 내내 짜증났네요.아니 그 조용하고 긴장감 있는 순간에 뻥?? 자...",10
4173,,10
4174,이건 아닌것 같다. 할리우드도 선택을 잘해야 한다고 느낀다,2
4175,그냥 평범한 전쟁영화 인줄 알았다... 무엇보다.. 촬영기법과 현실감이 아주 훌륭했다... 라이언 일병구하기 이후로 처음 느끼는 감정이었고... 주변환경 및 현장감은 라이언일병구하기 보다 더 훌륭했다... 꼭 ima...,10
4176,피곤하고 지쳤을 때 보면 더 재밌음,9
4177,한국영화 더럽게 비하하네 기생충이 전세계에서 사람들을 사로잡았는데 뭐 충무로가 어때서 맨날 조폭영화 머시기하는데 신세계나 범죄와의전쟁같은 것도 조폭영화라지만 그 영화속에 담긴 의미가 엄청나게 훌륭한데 겉만 보고 조폭...,10
4178,엄청난 전투신이 날올줄 알고 봤는데 실망 중반까지 병사둘이 다니는 로드무비뿐 그리고 엄청 과장된 스토리 폭망할것같다 기생충이 대단하단걸 느꼈다,6
4179,"개인적으로 역대 최고의 전쟁영화이자 2019년 최고의 영화... 그래비티 이후 최고의 '체험하는 영화'이며 경이적인 촬영기법부터 사운드트랙, 시각효과, 연출, 연기, 분장 모든게 다 완벽에 가깝다. 후...",10
4180,스토리는 진부하나 연출하나도 모든게 커버 가능하다 진짜 현장감은 물론 롱테이크 촬영기법 정말 예술이다,10
4181,전장의 한복판에서..!,10
4182,영화끝나고 바로 못일어나겠더라,9
4183,"썩고 불어터진 시신, 참호에 박혀 있던 병사들이 일차대전을 잘 보여준다",9
4184,"영화 내내 끊기는 타임이 4,5번 밖에 없음. 미친 연출력이다 진짜",10
4185,,10
4186,1917년생입니다 제가 벌써 105살이네여 물론 영화는 재미없었습니다^_^,1
4187,,10
4188,,10
4189,기생충이 아카데미 탄 건 이해되는데이 작품이 아카데미 못탄게 이해가 안감.촬영부터 긴장감 영상 음악뭐하나 빼놓지 않습니다.덩케르크와 다른 느낌의 서사시.최고입니다.이걸 평점 낮게주는 사람 알바일듯..,10
4190,,9
4191,모두다 고생한영화 단.좀 지루,6
4192,,9
4193,그닥;;;; 기생충 보면서는 소름돋았는데ㅇㅇ,1
4194,상업적 요소는 낮아도 원테이크는 진짜..,9
4195,멋진 영화. 몰입감 높은 RPG게임을 스크린으로 옮겨 놓았다.,8
4196,볼까 말까 했는데 후회 없는 영화였습니다.,10
4197,영화 보면서 이렇게 몰입해서 본 거 처음입니다..전쟁영화 극장에서 본게 이번이 2번째인데진짜 대박이에요!!이번에 오스카상 후보여서 개봉하자마자 극장에서 본 영화인데 꼭 보세요 제발 ㅠㅠ,10
4198,마치 숨막히는 F1 레이스 경기장에 와 있는 것 같았다,10
4199,,10
4200,,10
4201,영화 완전 쩐다. 이걸 어케 투컷으로 찍지?,10
4202,처음 영화 몇분 지나고선 와.. 아직도 그대로 가네 싶었는데 그게 마지막까지 가서 깜놀. 이런 경우 어지럽게 흔들리기도 해서 멀미하겠네 망했다 싶었는데 그런 것도 없었고.. 삶과 죽음과 전쟁의 참혹을 가감없이 담백하...,8
4203,최고다.잔잔히 울리는 감동과 처절함,10
4204,압도적인 전장이 눈앞에,10
4205,미쳤다 진짜... 몰입감 최고,10
4206,소올찍히 카메라 촬영기법상 길어지면 지루하고 재미없어짐..근데 어떻게...-_-촬영감독이 개고생을 했을지... 눈에뻔히보임..배우는 말할것도없고.. 이게 진정한 능력있는 감독들의 덕질인가.. 쿠엔틴 오덕 이후로 또다...,8
4207,무조건 아이맥스로 관람하기를 추천합니다..,10
4208,덩케르크를 뛰어넘는 대작,10
4209,전쟁영화라기 보다는 시적인? 감성적인 느낌이 강한거 같았네요.,7
4210,닥터스트레인지와 거래를 하러왔다,9
4211,,10
4212,가볍게볼수는 없는영화,10
4213,말로 표현할 수 없음. 아이맥스 고고씽,10
4214,,10
4215,인류 영화 기술의 최전선을 목도하다.,10
4216,"평이 좋아서 믿고 봤는데 ㅎㅎ.. 취향 차이인가봐요,,,전쟁영화 보는 걸 좋아했는데 흠 이건.. 중간에 10분 정도 잠들었다가 큰 소리에 깼어요뭔가 전쟁영화의 전형적 요소를 다 넣은 대신 하나의 요소들이 엥..?스럽...",4
4217,와.. 촬영상 받을만했네요. 게임캐릭터가 된듯한 느낌. 음향은 얼마나 잘넣으셨는지 심장을 죄었다풀었다... 이런 대단한 영화가 경쟁작이었다니 기생충 상받은것도 새삼 놀랍네요,10
4218,여운이 너무 쎄게 남는다...,10
4219,몇 천명 목숨이 걸린 작전중지 명령을 전하러 2명만 보내는 것도 이상하고 독일 공군 구하다가 칼빵 맞고 죽을 때부터 어이가 없더라.,5
4220,같은 돈 주고 한국 영화 보기 창피하다,10
4221,가만히 앉아서 보기힘든 영화.,10
4222,"기대 이상의 영화였습니다. 보는 내내 가슴이 쫄깃~~ 연출, 연기, 영상, 음악 뭐하나 훌륭하지 않은게 없네요.마지막에 눈물이..좋은 영화 감사합니다.",10
4223,의례 예고편에 나오는 달리는장면..뭐하는장면인가 했는데 그장면에서 울컥할수밖에 없더라,10
4224,기생충이 이 명화를 이겼다고? 대단하네...,10
4225,전쟁터에 2시간동안 있었다,10
4226,"참호와 기관총, 철조망이 만들어낸 killing zone 속에서 사람의 목숨이 무의미하던 1차 세계대전의 참상을 가장 잘 표현한 작품이 아닐까. 맨더스 감독의 뛰어난 연출과 고장으로 밀덕이라면 장면 하나하나에서 전쟁...",10
4227,"땅 속에서 올라오는 습한 시체썩는 냄새, 극박하게 터지는 화약냄새마져 눈끝으로 맡을수있는 전쟁영화, 롱테이크의 끝자락 박수를 보낸다",9
4228,냉정하게 기생충이 pc없었으면 이 영화 못이겼음,10
4229,나 솔직히 기생충보다 이 영화가 더 좋았어,10
4230,쥐새키 죽이고 싶었다 하 내 심장,10
4231,,10
4232,"평소 내가 알던 한국전쟁영화들은 보고 난후 감정과 감동이 예상가능했다고 해야 하나? 그래서 이영화도 비슷하겠지 하고 예상했는데 내가 잘못된 생각을 하고 있었다는 것을 알게 되었다이 영화는 두병사의 우애와 의리,친구의...",10
4233,,10
4234,기술과 이야기의 만남이 능히 1917년의 시공간을 체험하게 만든다.,10
4235,초등학생 봐도 될까요?,8
4236,말이 필요없다  슬프고 참혹한 전쟁에 비극오락성 전쟁 영화는 꺼저라,10
4237,살아 생전 못 본 세계 1차대전을 현장에서 봤습니다.,10
4238,무늬만 오스카  내용은 형편엄는 졸작,1
4239,"영국판 라이언일병구하기, 감동도 없고 촬영만 좋다, 기생충엔 못미치는 영화,평점 8.5 가 적당함. 덩케르크나 1917이나 한방이 없다.",8
4240,이건 스토리따지는 영화가 아니다 감독의도 자체가 스토리 비중 많이 줄였다 이 영화는 영상미와 음악에 집중해야 하는영화다 롱테이크로 주인공 뿐 아니라 배경에 몰입할수가 있다 전쟁영화인데 아름다워보이는건 처음,10
4241,"기대한만큼 재밌게 봤다. 기대에 못미친다는 반응이 보이기도 했는데 개인적으로 취향에 맞았는지 너무 좋았다. 이미 알려져있지만 롱테이크 기법 덕분에 전쟁터 한 가운데 내가 서있고, 주인공의 뒤를 따라가는 듯한 기분이 ...",10
4242,영상미랑 촬영이 엄청 돋보이는 영화였어요~ 몰입도가 엄청나고 기대했던만큼 좋은 영화였어요!!,10
4243,"콜린 퍼스, 베네딕드 컴버배치, 마크 스트롱은 이 영화의 얼굴 마담.. 영화를 게임처럼 1인칭 시점으로 만드려는 시도는 좋으나 영화 보는 내내 TV생생 정보통 카메라맨이 카메라들고 다니는 느낌이 남..(카메라맨 고생...",5
4244,와... 할말을 잃었다....   최고다...,10
4245,기생충이 그냥 백인이 나온 헐리우드 영화였다면 절대 1917을 이기지 못했을것. 1917은 오히려 백인의 헐리우드 영화라 차별받음. 진짜 근래 보기 드믄 명작,10
4246,,10
4247,,10
4248,,10
4249,연출빼고 볼게 없다. 초능력자 주인공. 기생충까면서까지 치켜올리진 말자,6
4250,온힘을 다해 뛸때 울컥한다. 인생작 리스트에 하나 추가,10
4251,"헐리우드 기술력 하면 단순 CG라고 생각했는데, 롱테이크 기법을 아득히 초월해버리는 이 연출 무엇?! 리얼 전쟁영화의 끝판왕이다. 담고 있는 메시지도 절절하다. 봉준호의 기생충과 끝까지 겨루었던 이유를 납득하겠네.",10
4252,여러말 필요없다. 최고의 영화!!!이 영화가 상을 휩쓸어야지 왜 기생충이 받았지??이해 불가..,10
4253,"촬영과 음악이, 한 편의 연극을 연상케하는 영화를 이끈다. 다만 주제의식은 기존의 영화들과 큰 차별점이 없다.",6
4254,"예상하지 못한 전개와 감동, 그리고 엄청난 연출과 영상까지 어느하나 빠지지 않고 대박이다. 실제 전장터에 같이 와있는 느낌? 전개는 연극같이 되지만 처음부터 끝까지 원테이크같이 편집했다는게 더 대단하다.",9
4255,진짜 촬영을 어떻게 하면 이렇게 만들까...?진짜 보는 내내 신기하고 마지막에 주인공이 다시 첫 장면때처럼 나무에 기댄 장면보고 감동이 옴....전쟁의 참혹함을 엄청 잘 보여주는 영화.꼭 보세요.기생충도 좋은 영화지...,10
4256,"뻔해보일 수 있는 스토리를 뻔하지 않게 만드는 연출,음악과 배우들의 연기, 그리고 뛰어난 영상미. 특히 주인공들과 함께 하고 있다는 느낌을 준 촬영 기법은 2시간이라는 긴 시간을 지루하지 않게 만들어주었다.",10
4257,황폐해진 들판에도 다시 꽃이 필수 있다는 것.,9
4258,전쟁씬 안나온다고 보지말라던 사람들 너무 한심하다,10
4259,별거 아닌 스토리로 별거 아닌 영화를 만들어 버리네ㄷㄷ,10
4260,보는내내 힘든데요. 신선하고 전반적으로 좋았습니다.,9
4261,꼭 IMAX에서 보셈극기훈련 2시간임,10
4262,해외의 도박꾼들은 이 영화가 상 받는다고 예상했어요.,10
4263,전쟁영화 볼때마다 잠드는 내가두 시간 내내 몰입해서 본 영화!!!1. 저걸 어떻게 저렇게 롱테이크로 찍었지??2. 사운드를 진짜 잘 입혀놔서 보는 내내 쫄깃쫠깃3. 뭐?! 세트장이라고???!!!!,10
4264,촬영과 편집이 끝내줌. 그런데 서서나 전쟁영화 특유의 감동은 약함. 주연 배우 조지 맥케이 엄청 대성할 거 같음. 아직 20대인데 떡잎부터 다름.,8
4265,참호를 넘는 순간. 그리고 데드랜드 속 잔인한 풍경,10
4266,몰입감 장난 아님 ㄷㄷㄷ 제작진들이 영화에 영혼을 갈아넣은듯..,10
4267,완전 감동. 영화 완전 짱 꼭 봐야함,10
4268,3인칭으로 체험하는 전쟁영화. 큰 화면에서 보세요. 꼭이요.,10
4269,"이거 영화 맞아요?어떻게 이렇게 찍을 수가 있죠?처음부터 끝까지 카메라가 주인공을 따라가네요. 그곳이 강, 웅덩이, 참호, 전쟁터든 상관없이..끝까지 제 자신인냥 몰입하게 만든 배우의 연기력은 물론 연출, 촬영기술,...",10
4270,단순한 스토리로 이런멋진 영화를 만드는 감독이 정말 대단하다. 마치 내가 주인공이 되어 적진을 뚫고 나가는것 처럼 느낄 정도로 몰입도가 장난 아니다.,8
4271,영화 리뷰는 태어나서 처음써봄.처음 도입부에 이 스토리가 시작하게 된 계기까진조금 지루하였다가. 스토리가 시작하기 시작하면서미친듯한 집중과 영화를 잘 모르는 나조차도 롱테이크에입이 떡하고 벌어지고 어마무시하게 큰 세...,10
4272,가장 단순한것으로 가장 큰 효과를 보았다.원테이크촬영식은 전쟁영화사에 큰역사로 남을듯,9
4273,원테이크 연출은 역대급이나 기대했던 재미나 감동은 별로없었음..생각보다 허무하고 연출과 세트장만 기억남음,8
4274,철조망에 널부러진 시체...구더기와 쥐가 들끓는 참호...내가 만약 저기 있었다면 며칠만에 정신병에 걸리지 않았을까..,10
4275,"아이맥스로 못 본게 너무 후회되어 주말에 아이맥스 바로 예매 했네요. 일반 상영관에서 봐도 좋았지만, 촬영감독의 노고를 아이맥스로 다시 한 번 느끼고 싶다는 생각이 부쩍 들어 나도 모르게 예매를.. 영화의 내용보다는...",10
4276,리얼 띵작입니다.아이맥스로 보시면 티켓 값 그 이상의 가치를 느낄수 있습니다.,10
4277,와 경이롭다.. 단순한 스토리지만.. 오히려 거기서 오는 강점은 영상과 음향과 주인공의 호흡에 집중하게 만든다는 것이다. 전쟁영화임에도 불구하고 절제미가 있고 창의적인 이유..기술은 더할 나위없이 경이롭고 깔끔하고 ...,10
4278,관객을 1차대전 포화속으로 불러들이는 샘맨데스의 마법,10
4279,남자주인공이 왜 오스카 노미 안됐는지 의문인 영화,9
4280,,10
4281,"고급지고 스캐일 크고 수준높은 웰메이드 영화입니다. 몰입 긴장 스릴도 최고, 연출 영상 각본 연기 음향 음악 뭐하나 흠잡을 데가 없습니다. 이게 영화다를 보여줍니다.  또하나의 인생영화. 100점입니다. 꼭 보세요",10
4282,내가 본 어떤 전쟁 영화와도 다르다,10
4283,간만에 영상미 돋보이는 영화,10
